sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S031,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,"richtextfx/src/main/java/org/fxmisc/richtext/model/Paragraph.java#org.fxmisc.richtext.model.Paragraph.getStyleSpans(int,int):org.fxmisc.richtext.model.StyleSpans",jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1525,,,,,
S032,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,"richtextfx/src/main/java/org/fxmisc/richtext/model/SegmentOps.java#org.fxmisc.richtext.model.EitherStyledSegmentOps.subSequence(org.reactfx.util.Either,int,int):org.reactfx.util.Either",jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1657,,,,,
S033,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx/src/main/java/org/fxmisc/richtext/model/TextChange.java#org.fxmisc.richtext.model.TextChange.getPosition():int,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1819,,,,,
S034,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx/src/main/java/org/fxmisc/richtext/util/UndoUtils.java#org.fxmisc.richtext.util.UndoUtils$1.redo():boolean,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1899,,,,,
S035,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,"mockito-core/src/main/java/org/mockito/BDDMockito.java#org.mockito.BDDMockito$BDDStubberImpl.willReturn(java.lang.Object,java.lang.Object[]):org.mockito.BDDMockito$BDDStubber",jsonl/mockito__mockito/method_contexts.jsonl.gz,190,,,,,
S036,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,"mockito-core/src/main/java/org/mockito/Mockito.java#org.mockito.Mockito.mockSingleton(java.lang.Object,org.mockito.MockSettings):org.mockito.MockedSingleton",jsonl/mockito__mockito/method_contexts.jsonl.gz,320,,,,,
S037,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java#org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker.InlineByteBuddyMockMaker(org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMaker):void,jsonl/mockito__mockito/method_contexts.jsonl.gz,723,,,,,
S038,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,"mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java#org.mockito.internal.creation.bytebuddy.MockMethodAdvice$SerializableRealMethodCall.SerializableRealMethodCall(java.lang.String,java.lang.reflect.Method,java.lang.Object,java.lang.Object[]):void",jsonl/mockito__mockito/method_contexts.jsonl.gz,812,,,,,
S039,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,"mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java#org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound.openFromToRaw(java.lang.Object,java.lang.Object,java.lang.String):void",jsonl/mockito__mockito/method_contexts.jsonl.gz,864,,,,,
S040,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/debugging/FindingsListener.java#org.mockito.internal.debugging.FindingsListener.foundUnusedStub(org.mockito.invocation.Invocation):void,jsonl/mockito__mockito/method_contexts.jsonl.gz,1030,,,,,
S041,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/debugging/LocationFactory.java#org.mockito.internal.debugging.LocationFactory.create():org.mockito.invocation.Location,jsonl/mockito__mockito/method_contexts.jsonl.gz,1044,,,,,
S042,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/hamcrest/HamcrestArgumentMatcher.java#org.mockito.internal.hamcrest.HamcrestArgumentMatcher.type():java.lang.Class,jsonl/mockito__mockito/method_contexts.jsonl.gz,1240,,,,,
S043,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/invocation/InterceptedInvocation.java#org.mockito.internal.invocation.InterceptedInvocation.toString():java.lang.String,jsonl/mockito__mockito/method_contexts.jsonl.gz,1307,,,,,
